OBJECTID_1,OUTFALL,ACREAGE,Y2STATUS,GROUP_,Y2CATEGORY,C_DISTRICT,WSHED,Shape_Length,Shape_Area
86,S1003,4.730286460000000,Proposed,4,4,E,LUCE BAYOU,2000.748942915479347,206051.267621213308303
87,S1002,17.011028029999999,Proposed,4,4,E,LUCE BAYOU,3931.347839381320682,741000.433643697295338
88,S1001,56.517754900000000,Proposed,4,4,E,LUCE BAYOU,7814.822299563108572,2461913.159116551280022
89,G1009,33.159335740000003,Proposed,4,4,E,SAN JACINTO RIVER,5248.631569394290636,1444420.579565179068595
90,G1000,7.757157850000000,Proposed,3,2,E,SAN JACINTO RIVER,2630.033334397993258,337901.818809043208603
98,C1201,94.458849439999995,Proposed,0,5,D,SIMS BAYOU,16234.348504572648380,4114627.531512555200607
106,W1201,35.055876050000002,Proposed,3,2,G,BUFFALO BAYOU,6591.188551677490977,1527033.930205846205354
137,C1107,32.848198080000003,Proposed,0,5,I,SIMS BAYOU,6441.961873357635341,1430867.543640812626109
142,A1020,93.051183330000001,Proposed,3,2,E,CLEAR CREEK,18140.099525740581157,4053309.451135015580803
184,P1205,30.653706509999999,Proposed,4,4,B,GREENS BAYOU,4936.574008050369230,1335275.397833535214886
186,P1193,5.383209900000000,Proposed,4,4,B,GREENS BAYOU,2089.917680858950916,234492.648712966620224
190,P1017,40.501702320000000,Proposed,4,4,B,GREENS BAYOU,6340.234671237147268,1764254.082999150734395
193,P1018,37.224992159999999,Proposed,4,4,B,GREENS BAYOU,5972.465227149881684,1621520.800530536100268
194,P1203,26.180102210000001,Proposed,4,4,B,GREENS BAYOU,5106.365762484113475,1140404.951379890320823
200,E5139,50.196363009999999,Proposed,4,5,A,WHITE OAK BAYOU,6356.555633609210417,2186553.745164362713695
202,E5138,47.582033379999999,Proposed,4,4,A,WHITE OAK BAYOU,6405.376032240827044,2072673.225535745266825
206,H1145,59.551601890000001,Proposed,0,5,I,HUNTING BAYOU,7716.908368327185599,2594067.778071803506464
216,P1233,81.498853780000005,Proposed,0,5,B,GREENS BAYOU,10938.514393457424376,3550090.130125748924911
217,P1032,38.512191750000000,Proposed,0,5,B,GREENS BAYOU,6196.342465783069201,1677591.177110072923824
218,P1029,35.127725040000001,Proposed,4,4,B,GREENS BAYOU,5512.723473106686470,1530163.447167095495388
219,P1232,82.427923359999994,Proposed,0,5,B,GREENS BAYOU,10993.400126913693384,3590560.852175332140177
220,P1231,32.601082779999999,Proposed,0,5,B,GREENS BAYOU,5392.093410219101315,1420103.284633887233213
221,P1229,101.480935590000001,Proposed,0,5,B,GREENS BAYOU,11115.069027633031510,4420509.463174254633486
222,P1230,35.547790259999999,Proposed,0,5,B,GREENS BAYOU,5522.131308346240985,1548461.582856018794701
223,P1228,37.738756119999998,Proposed,0,5,B,GREENS BAYOU,6049.163116795060887,1643899.946627228753641
224,P1227,37.084799019999998,Proposed,0,5,B,GREENS BAYOU,6042.711028038973382,1615413.505215217359364
225,P1226,52.578817129999997,Proposed,0,5,B,GREENS BAYOU,6089.305965257542994,2290333.086633163504303
226,P1223,37.069536280000001,Proposed,4,4,B,GREENS BAYOU,7617.822019248264951,1614749.170482399174944
227,P1238,14.440430100000000,Proposed,4,4,B,GREENS BAYOU,3131.416386745924228,629025.150675493758172
228,P1027,67.287683470000005,Proposed,4,4,B,GREENS BAYOU,6625.587226873713917,2931051.676369588822126
229,P1224,13.610430270000000,Proposed,4,4,B,GREENS BAYOU,3090.569141718247920,592870.449827832402661
230,P1225,15.095036810000000,Proposed,0,5,B,GREENS BAYOU,3558.168848338059433,657539.816347138490528
231,P1171,109.210833219999998,Proposed,4,4,B,GREENS BAYOU,10269.832132257753983,4757223.921197392977774
232,E5114,15.088209490000001,Proposed,4,4,A,WHITE OAK BAYOU,3766.559082578366997,657242.415962502011098
237,E5052,62.814170439999998,Proposed,1,2,B,WHITE OAK BAYOU,7147.126343870467281,2736185.378863106016070
239,E5066,174.654391809999993,Proposed,1,2,B,WHITE OAK BAYOU,14736.448412213099800,7607945.079709866084158
242,E5124,53.471463600000000,Proposed,3,2,A,WHITE OAK BAYOU,6331.434316116161426,2329217.191372917033732
249,P1050,178.797549779999997,Proposed,1,1,E,GREENS BAYOU,14217.164579847662026,7788420.278862157836556
259,H1037,31.115486440000002,Proposed,2,2,B,HUNTING BAYOU,4675.085219073474036,1355390.441507320385426
263,E5015,87.287221270000003,Proposed,2,2,A,WHITE OAK BAYOU,8011.595058073125074,3802231.473969079554081
265,W1025,24.381743719999999,Proposed,2,2,A,BUFFALO BAYOU,4437.025033985419213,1062068.807318677660078
276,E5020,20.250643719999999,Proposed,1,2,H,WHITE OAK BAYOU,4550.974399439221088,882118.175017272122204
277,H1083,8.396221100000000,Proposed,4,4,I,HUNTING BAYOU,2426.458092663480784,365739.334240859490819
278,H1056,6.684632120000000,Proposed,4,4,B,HUNTING BAYOU,2176.773784678122865,291182.518605949997436
279,W1022,45.352438130000003,Proposed,3,2,A,BUFFALO BAYOU,5789.985986764848349,1975552.131851429119706
280,H1095,41.768072459999999,Proposed,0,5,B,HUNTING BAYOU,5763.725401650811364,1819417.249064417788759
281,W1010,65.021993309999999,Proposed,1,2,A,BUFFALO BAYOU,7851.527194068248718,2832358.047150075901300
282,H1057,4.273633270000000,Proposed,4,4,B,HUNTING BAYOU,2078.784635981418887,186159.445844234840479
283,W1008,67.694367130000003,Proposed,3,2,A,BUFFALO BAYOU,10898.553433680925082,2948766.579621217679232
290,C1071,20.425541530000000,Proposed,0,5,I,SIMS BAYOU,4322.059418163067676,889736.695749144651927
291,D9025,46.699157290000002,Proposed,0,5,C,BRAYS BAYOU,6063.968478076427346,2034215.354174958774820
296,C1088,16.828018810000000,Proposed,4,4,I,SIMS BAYOU,3791.508740809060328,733028.455082665313967
301,C1043,306.312625969999999,Proposed,1,2,E,SIMS BAYOU,20553.254848315114941,13342977.964315369725227
316,C1321,32.921263670000002,Proposed,0,5,E,SIMS BAYOU,4951.969991258270966,1434050.146493382751942
318,P1100,98.777367760000004,Proposed,1,1,B,GREENS BAYOU,8731.606235716184528,4302742.147157307714224
327,H1005,192.466671190000000,Proposed,2,2,H,HUNTING BAYOU,15088.908766732092772,8383848.011880496516824
328,E5164,95.083978779999995,Proposed,4,5,A,WHITE OAK BAYOU,9840.260939831154246,4141858.490524973720312
330,E5140,8.662210399999999,Proposed,4,4,A,WHITE OAK BAYOU,3436.438382015058778,377325.800215448776726
332,P1078,90.940349470000001,Proposed,3,1,B,GREENS BAYOU,9412.457494693768240,3961361.556644751224667
333,P1083,60.697838249999997,Proposed,4,4,B,GREENS BAYOU,8314.309209208307948,2643997.414875722955912
335,E5163,63.533322769999998,Proposed,4,4,A,WHITE OAK BAYOU,8662.069169277056062,2767511.893713138531893
338,C1081,17.450218549999999,Proposed,0,5,I,SIMS BAYOU,3998.303614414334334,760131.390334338531829
343,C1030,45.573678289999997,Proposed,0,5,E,SIMS BAYOU,6647.451156933865605,1985189.425766720203683
346,W1090,47.332518370000003,Proposed,0,5,A,BUFFALO BAYOU,8249.551412367576631,2061804.388645369326696
349,E5078,11.521247210000000,Proposed,4,4,B,WHITE OAK BAYOU,2964.701644774995657,501865.580560779082589
351,E5077,9.145642880000000,Proposed,1,2,B,WHITE OAK BAYOU,2577.168416530957984,398384.265140807256103
352,P1145,31.479360690000000,Proposed,3,1,B,GREENS BAYOU,4719.691654416286838,1371240.907429024344310
353,P1114,26.361403419999998,Proposed,1,1,B,GREENS BAYOU,4306.380100838845465,1148302.703306680778041
354,P1113,21.292059739999999,Proposed,1,1,B,GREENS BAYOU,3856.860055528738940,927482.156147158821113
355,P1111,18.314559280000001,Proposed,4,4,B,GREENS BAYOU,3585.247277798306641,797782.312539088539779
356,E5141,13.028807880000000,Proposed,4,4,A,WHITE OAK BAYOU,3824.809070101978705,567534.713170499890111
357,P1146,31.757745470000000,Proposed,1,1,B,GREENS BAYOU,4946.847880341461860,1383367.248843932524323
358,E5074,37.039941800000001,Proposed,4,4,A,WHITE OAK BAYOU,6715.021675785418665,1613459.633285179501399
359,E5076,10.216749160000001,Proposed,4,4,B,WHITE OAK BAYOU,2779.344936573939776,445041.599107598187402
360,P1108,92.116767890000006,Proposed,3,1,B,GREENS BAYOU,8988.479782458518457,4012605.947451815009117
366,H1027,16.693802900000001,Proposed,4,4,B,HUNTING BAYOU,5013.893867888078603,727181.899220812949352
370,E5099,7.287571860000000,Proposed,3,2,A,WHITE OAK BAYOU,2449.086488902270503,317446.714631904265843
372,W1006,45.988769449999999,Proposed,3,2,A,BUFFALO BAYOU,5733.799306790068840,2003270.557716428069398
373,H1025,7.042211760000000,Proposed,4,4,B,HUNTING BAYOU,2332.135911186058365,306758.745849819504656
377,H1015,15.904616400000000,Proposed,4,4,B,HUNTING BAYOU,3793.000632006987416,692805.002391029847786
379,P1067,44.050642560000000,Proposed,0,5,B,GREENS BAYOU,6398.803715359151283,1918845.932022982509807
