,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Drought - Number of Events,Drought - Annualized Frequency,Drought - Expected Annual Loss Rate - National Percentile,Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Annualized Frequency,Riverine Flooding - Expected Annual Loss Rate - National Percentile
30,73018.0,T48201220800,Texas,TX,Harris,220800.0,3198.0,0.68,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.87,18.0,0.18,87.26,126.0,0.0,0.0
31,73019.0,T48201220900,Texas,TX,Harris,220900.0,1907.0,0.58,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.46,18.0,0.18,87.21,126.0,5.25,98.31
32,73020.0,T48201221000,Texas,TX,Harris,221000.0,4288.0,0.97,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.96,19.0,0.18,87.92,126.0,5.25,99.33
33,73021.0,T48201221100,Texas,TX,Harris,221100.0,3718.0,1.19,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.94,19.0,0.18,87.46,126.0,0.0,0.0
34,73022.0,T48201221200,Texas,TX,Harris,221200.0,6124.0,0.98,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.19,18.0,0.18,88.06,126.0,0.0,0.0
35,73023.0,T48201221301,Texas,TX,Harris,221301.0,4486.0,0.73,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,51.81,18.0,0.18,87.3,126.0,0.0,0.0
36,73024.0,T48201221302,Texas,TX,Harris,221302.0,3678.0,0.61,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.5,18.0,0.18,87.43,126.0,0.0,0.0
37,73025.0,T48201221400,Texas,TX,Harris,221400.0,5902.0,0.79,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,51.96,18.0,0.18,87.86,126.0,0.0,0.0
38,73026.0,T48201221501,Texas,TX,Harris,221501.0,4941.0,0.68,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.19,18.0,0.18,87.72,126.0,0.0,0.0
39,73027.0,T48201221502,Texas,TX,Harris,221502.0,2859.0,0.2,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.92,17.0,0.18,87.55,126.0,0.0,0.0
40,73028.0,T48201221601,Texas,TX,Harris,221601.0,3313.0,0.46,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,52.87,16.0,0.18,87.96,126.0,5.25,99.68
41,73029.0,T48201221602,Texas,TX,Harris,221602.0,5886.0,1.79,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,51.83,18.0,0.18,87.15,126.0,5.25,91.54
42,73030.0,T48201221701,Texas,TX,Harris,221701.0,4086.0,1.13,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,51.68,18.0,0.18,87.16,126.0,5.25,99.19
43,73031.0,T48201221702,Texas,TX,Harris,221702.0,3574.0,0.95,,0.0,0.0,280.0,12.73,0.0,2.0,0.12,51.82,18.0,0.18,87.06,126.0,5.25,99.87
44,73032.0,T48201221800,Texas,TX,Harris,221800.0,4371.0,1.23,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.71,18.0,0.18,87.14,126.0,5.25,99.0
45,73033.0,T48201221900,Texas,TX,Harris,221900.0,4684.0,1.04,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,53.02,19.0,0.18,87.1,126.0,5.25,99.55
46,73034.0,T48201222000,Texas,TX,Harris,222000.0,2290.0,0.44,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.89,18.0,0.18,87.4,126.0,5.25,99.88
47,73035.0,T48201222100,Texas,TX,Harris,222100.0,5487.0,0.89,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.81,18.0,0.18,87.33,126.0,5.25,99.68
48,73036.0,T48201222200,Texas,TX,Harris,222200.0,3812.0,1.17,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.47,18.0,0.18,87.36,126.0,0.0,0.0
49,73037.0,T48201222300,Texas,TX,Harris,222300.0,4790.0,1.95,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.13,19.0,0.18,87.46,126.0,5.25,98.65
