,FIELD,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
158,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.71,-95.28,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
159,All Sky Surface PAR Total (W/m^2),29.71,-95.28,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
160,All Sky Surface Albedo (dimensionless),29.78,-95.28,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
161,All Sky Surface Longwave Downward Irradiance (W/m^2),29.78,-95.28,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
162,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.78,-95.28,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
163,All Sky Surface PAR Total (W/m^2),29.78,-95.28,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
164,All Sky Surface Albedo (dimensionless),29.85,-95.28,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
165,All Sky Surface Longwave Downward Irradiance (W/m^2),29.85,-95.28,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
166,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.85,-95.28,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
167,All Sky Surface PAR Total (W/m^2),29.85,-95.28,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
168,All Sky Surface Albedo (dimensionless),29.92,-95.28,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
169,All Sky Surface Longwave Downward Irradiance (W/m^2),29.92,-95.28,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
170,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.92,-95.28,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
171,All Sky Surface PAR Total (W/m^2),29.92,-95.28,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
172,All Sky Surface Albedo (dimensionless),29.99,-95.28,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
173,All Sky Surface Longwave Downward Irradiance (W/m^2),29.99,-95.28,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
174,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.99,-95.28,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
175,All Sky Surface PAR Total (W/m^2),29.99,-95.28,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
176,All Sky Surface Albedo (dimensionless),30.06,-95.28,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.13
177,All Sky Surface Longwave Downward Irradiance (W/m^2),30.06,-95.28,306.66,327.45,343.8,362.74,389.74,411.21,417.45,420.11,402.72,365.09,334.49,324.53,367.34
178,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),30.06,-95.28,3.04,3.25,4.5,5.31,5.78,6.37,6.44,5.98,5.18,4.41,3.26,2.55,4.68
179,All Sky Surface PAR Total (W/m^2),30.06,-95.28,55.75,61.18,85.35,101.71,112.77,125.72,127.52,118.19,100.85,83.95,60.96,47.18,90.23
180,All Sky Surface Albedo (dimensionless),29.5,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
181,All Sky Surface Longwave Downward Irradiance (W/m^2),29.5,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
182,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.5,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
183,All Sky Surface PAR Total (W/m^2),29.5,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
184,All Sky Surface Albedo (dimensionless),29.57,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
185,All Sky Surface Longwave Downward Irradiance (W/m^2),29.57,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
186,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.57,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
187,All Sky Surface PAR Total (W/m^2),29.57,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
188,All Sky Surface Albedo (dimensionless),29.64,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
189,All Sky Surface Longwave Downward Irradiance (W/m^2),29.64,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
190,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.64,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
191,All Sky Surface PAR Total (W/m^2),29.64,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
192,All Sky Surface Albedo (dimensionless),29.71,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
193,All Sky Surface Longwave Downward Irradiance (W/m^2),29.71,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
194,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.71,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
195,All Sky Surface PAR Total (W/m^2),29.71,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
196,All Sky Surface Albedo (dimensionless),29.78,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
197,All Sky Surface Longwave Downward Irradiance (W/m^2),29.78,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
198,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.78,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
199,All Sky Surface PAR Total (W/m^2),29.78,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
200,All Sky Surface Albedo (dimensionless),29.85,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
201,All Sky Surface Longwave Downward Irradiance (W/m^2),29.85,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
202,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.85,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
203,All Sky Surface PAR Total (W/m^2),29.85,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
204,All Sky Surface Albedo (dimensionless),29.92,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
205,All Sky Surface Longwave Downward Irradiance (W/m^2),29.92,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
206,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.92,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
207,All Sky Surface PAR Total (W/m^2),29.92,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
208,All Sky Surface Albedo (dimensionless),29.99,-95.35,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
209,All Sky Surface Longwave Downward Irradiance (W/m^2),29.99,-95.35,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
210,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.99,-95.35,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
211,All Sky Surface PAR Total (W/m^2),29.99,-95.35,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
212,All Sky Surface Albedo (dimensionless),30.06,-95.35,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.13
213,All Sky Surface Longwave Downward Irradiance (W/m^2),30.06,-95.35,306.66,327.45,343.8,362.74,389.74,411.21,417.45,420.11,402.72,365.09,334.49,324.53,367.34
214,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),30.06,-95.35,3.04,3.25,4.5,5.31,5.78,6.37,6.44,5.98,5.18,4.41,3.26,2.55,4.68
215,All Sky Surface PAR Total (W/m^2),30.06,-95.35,55.75,61.18,85.35,101.71,112.77,125.72,127.52,118.19,100.85,83.95,60.96,47.18,90.23
216,All Sky Surface Albedo (dimensionless),29.5,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
217,All Sky Surface Longwave Downward Irradiance (W/m^2),29.5,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
218,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.5,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
219,All Sky Surface PAR Total (W/m^2),29.5,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
220,All Sky Surface Albedo (dimensionless),29.57,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
221,All Sky Surface Longwave Downward Irradiance (W/m^2),29.57,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
222,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.57,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
223,All Sky Surface PAR Total (W/m^2),29.57,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
224,All Sky Surface Albedo (dimensionless),29.64,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
225,All Sky Surface Longwave Downward Irradiance (W/m^2),29.64,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
226,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.64,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
227,All Sky Surface PAR Total (W/m^2),29.64,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
228,All Sky Surface Albedo (dimensionless),29.71,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
229,All Sky Surface Longwave Downward Irradiance (W/m^2),29.71,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
230,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.71,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
231,All Sky Surface PAR Total (W/m^2),29.71,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
232,All Sky Surface Albedo (dimensionless),29.78,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
233,All Sky Surface Longwave Downward Irradiance (W/m^2),29.78,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
234,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.78,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
235,All Sky Surface PAR Total (W/m^2),29.78,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
236,All Sky Surface Albedo (dimensionless),29.85,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
237,All Sky Surface Longwave Downward Irradiance (W/m^2),29.85,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
238,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.85,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
239,All Sky Surface PAR Total (W/m^2),29.85,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
240,All Sky Surface Albedo (dimensionless),29.92,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
241,All Sky Surface Longwave Downward Irradiance (W/m^2),29.92,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
242,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.92,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
243,All Sky Surface PAR Total (W/m^2),29.92,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
244,All Sky Surface Albedo (dimensionless),29.99,-95.42,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
245,All Sky Surface Longwave Downward Irradiance (W/m^2),29.99,-95.42,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
246,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.99,-95.42,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
247,All Sky Surface PAR Total (W/m^2),29.99,-95.42,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
248,All Sky Surface Albedo (dimensionless),30.06,-95.42,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.13
249,All Sky Surface Longwave Downward Irradiance (W/m^2),30.06,-95.42,306.66,327.45,343.8,362.74,389.74,411.21,417.45,420.11,402.72,365.09,334.49,324.53,367.34
250,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),30.06,-95.42,3.04,3.25,4.5,5.31,5.78,6.37,6.44,5.98,5.18,4.41,3.26,2.55,4.68
251,All Sky Surface PAR Total (W/m^2),30.06,-95.42,55.75,61.18,85.35,101.71,112.77,125.72,127.52,118.19,100.85,83.95,60.96,47.18,90.23
252,All Sky Surface Albedo (dimensionless),29.5,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
253,All Sky Surface Longwave Downward Irradiance (W/m^2),29.5,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
254,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.5,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
255,All Sky Surface PAR Total (W/m^2),29.5,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
256,All Sky Surface Albedo (dimensionless),29.57,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
257,All Sky Surface Longwave Downward Irradiance (W/m^2),29.57,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
258,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.57,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
259,All Sky Surface PAR Total (W/m^2),29.57,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
260,All Sky Surface Albedo (dimensionless),29.64,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
261,All Sky Surface Longwave Downward Irradiance (W/m^2),29.64,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
262,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.64,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
263,All Sky Surface PAR Total (W/m^2),29.64,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
264,All Sky Surface Albedo (dimensionless),29.71,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
265,All Sky Surface Longwave Downward Irradiance (W/m^2),29.71,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
266,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.71,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
267,All Sky Surface PAR Total (W/m^2),29.71,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
268,All Sky Surface Albedo (dimensionless),29.78,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
269,All Sky Surface Longwave Downward Irradiance (W/m^2),29.78,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
270,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.78,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
271,All Sky Surface PAR Total (W/m^2),29.78,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
272,All Sky Surface Albedo (dimensionless),29.85,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
273,All Sky Surface Longwave Downward Irradiance (W/m^2),29.85,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
274,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.85,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
275,All Sky Surface PAR Total (W/m^2),29.85,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
276,All Sky Surface Albedo (dimensionless),29.92,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
277,All Sky Surface Longwave Downward Irradiance (W/m^2),29.92,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
278,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.92,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
279,All Sky Surface PAR Total (W/m^2),29.92,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
280,All Sky Surface Albedo (dimensionless),29.99,-95.49,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
281,All Sky Surface Longwave Downward Irradiance (W/m^2),29.99,-95.49,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
282,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.99,-95.49,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
283,All Sky Surface PAR Total (W/m^2),29.99,-95.49,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
284,All Sky Surface Albedo (dimensionless),30.06,-95.49,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.13
285,All Sky Surface Longwave Downward Irradiance (W/m^2),30.06,-95.49,306.66,327.45,343.8,362.74,389.74,411.21,417.45,420.11,402.72,365.09,334.49,324.53,367.34
286,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),30.06,-95.49,3.04,3.25,4.5,5.31,5.78,6.37,6.44,5.98,5.18,4.41,3.26,2.55,4.68
287,All Sky Surface PAR Total (W/m^2),30.06,-95.49,55.75,61.18,85.35,101.71,112.77,125.72,127.52,118.19,100.85,83.95,60.96,47.18,90.23
288,All Sky Surface Albedo (dimensionless),29.5,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
289,All Sky Surface Longwave Downward Irradiance (W/m^2),29.5,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
290,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.5,-95.56,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
291,All Sky Surface PAR Total (W/m^2),29.5,-95.56,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
292,All Sky Surface Albedo (dimensionless),29.57,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
293,All Sky Surface Longwave Downward Irradiance (W/m^2),29.57,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
294,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.57,-95.56,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
295,All Sky Surface PAR Total (W/m^2),29.57,-95.56,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
296,All Sky Surface Albedo (dimensionless),29.64,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
297,All Sky Surface Longwave Downward Irradiance (W/m^2),29.64,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
298,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.64,-95.56,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
299,All Sky Surface PAR Total (W/m^2),29.64,-95.56,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
300,All Sky Surface Albedo (dimensionless),29.71,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
301,All Sky Surface Longwave Downward Irradiance (W/m^2),29.71,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
302,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.71,-95.56,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
303,All Sky Surface PAR Total (W/m^2),29.71,-95.56,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
304,All Sky Surface Albedo (dimensionless),29.78,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
305,All Sky Surface Longwave Downward Irradiance (W/m^2),29.78,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
306,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.78,-95.56,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
307,All Sky Surface PAR Total (W/m^2),29.78,-95.56,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
308,All Sky Surface Albedo (dimensionless),29.85,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
309,All Sky Surface Longwave Downward Irradiance (W/m^2),29.85,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
310,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.85,-95.56,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
311,All Sky Surface PAR Total (W/m^2),29.85,-95.56,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
312,All Sky Surface Albedo (dimensionless),29.92,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
313,All Sky Surface Longwave Downward Irradiance (W/m^2),29.92,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
314,All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day),29.92,-95.56,3.08,3.3,4.53,5.23,5.91,6.26,6.27,5.76,5.05,4.54,3.33,2.65,4.67
315,All Sky Surface PAR Total (W/m^2),29.92,-95.56,56.76,62.5,86.09,100.21,115.01,123.93,124.43,114.23,98.82,86.74,62.58,49.19,90.18
316,All Sky Surface Albedo (dimensionless),29.99,-95.56,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14
317,All Sky Surface Longwave Downward Irradiance (W/m^2),29.99,-95.56,317.18,337.87,352.18,370.73,393.64,415.06,419.72,423.12,408.0,373.24,345.85,335.39,374.48
