OBJECTID,Name,Label,Park_ID,Park_Acres,ShapeSTArea,ShapeSTLength
858,Unknown,Unknown,PN4360,1.34,58292.2152187809,1467.31357132361
859,Unknown,Unknown,PN4361,0.29,12775.83031004,453.160669151512
860,Unknown,Unknown,PN4362,2.48,107961.101066679,1408.3927334177
861,Unknown,Unknown,PN4363,0.29,12796.1247713764,454.594023992371
862,Unknown,Unknown,PN4364,0.23,10074.9649972624,406.356607975144
863,Unknown,Unknown,PN4365,2.21,96084.8725753844,2159.23560303485
864,Rustic Oaks,Rustic Oaks,PN4368,16.54,720450.961693544,6244.07139006649
865,Unknown,Unknown,PN437,0.98,42852.9408546622,1045.1402389794
866,Unknown,Unknown,PN4370,54.76,2385254.23912722,6364.93843727815
867,Unknown,Unknown,PN4372,2.9,126327.31688497,1507.52008385398
868,Unknown,Unknown,PN4373,4.95,215790.850969518,4928.96636921461
869,Unknown,Unknown,PN4375,2.61,113533.903757985,2189.62568623474
870,Unknown,Unknown,PN4376,1.85,80491.6985718261,1608.68825110623
871,Unknown,Unknown,PN4379,4.16,180992.996256634,2422.37995306907
872,Unknown,Unknown,PN4381,27.24,1186414.84485684,5135.20837719012
873,Unknown,Unknown,PN4382,2.76,120299.247069502,1411.7390656896
874,Unknown,Unknown,PN4383,1.45,63141.288079746,1458.88349100517
875,Unknown,Unknown,PN4387,7.06,307482.891029195,3477.02749177526
876,Unknown,Unknown,PN4389,9.1,396200.145215448,3223.65309539373
877,San Bernard,San Bernard,PN439,190.64,8304258.61734401,14497.825952697
878,Unknown,Unknown,PN4391,2.21,96228.2159215409,1322.09663227912
879,Unknown,Unknown,PN4393,5.64,245494.203159824,2159.44634090108
880,Unknown,Unknown,PN4395,78.56,3422155.05919652,19277.2352606822
881,Unknown,Unknown,PN4396,3.11,135506.668001266,1547.3653417379
882,Unknown,Unknown,PN4397,1.08,47072.154101606,1286.09857875875
883,Unknown,Unknown,PN4398,8.55,372526.041800598,3976.40129407808
884,Village of Tuscan Lakes,Village of Tuscan Lakes,PN4399,3.85,167613.787779457,2433.5860174856
885,City Park,City Park,PN440,3.19,138887.685565212,2116.20418370669
886,Unknown,Unknown,PN4400,1,43748.8609810562,859.229343385953
887,Unknown,Unknown,PN4401,35.91,1564046.67007511,9639.73614198996
888,Unknown,Unknown,PN4402,2.08,90620.7682761461,1407.14910758859
889,La Salle Park,La Salle Park,PN4404,1.85,80672.1539012255,1138.02745788
890,Unknown,Unknown,PN4405,1.27,55276.16147539,3095.59810950989
891,Unknown,Unknown,PN4407,0.87,37799.0620209713,823.579616452278
892,Unknown,Unknown,PN4409,3.41,148488.549419792,1633.55492372859
893,Unknown,Unknown,PN4410,55.22,2405452.51097413,9120.7694868341
894,Bayshore Park,Bayshore Park,PN4413,26.86,1170019.07046047,5088.85461189504
895,Challenger 7 Memorial Park,Challenger 7 Memorial Park,PN4416,326.63,14227998.0809243,17860.640783082
896,Unknown,Unknown,PN4417,1.89,82345.3659508224,1242.14979281736
897,Mustange Community Center,Mustange Community Center,PN4418,12.91,562541.055301863,3824.06691621167
898,Unknown,Unknown,PN4419,0.96,41946.5733319547,880.028574231966
899,Unknown,Unknown,PN4422,0.97,42089.2345771646,882.034185388181
900,Unknown,Unknown,PN4423,1.46,63729.9718263414,1170.91867873443
901,Unknown,Unknown,PN4424,75.68,3296629.9781169,9651.01927642979
902,Unknown,Unknown,PN4427,2.46,107120.276447017,1533.82251120078
903,City Park,City Park,PN4428,12.29,535150.212433114,4335.2204025341
904,Unknown,Unknown,PN4432,36.56,1592580.46833561,6369.61535933184
905,Forest Bend Park,Forest Bend Park,PN4433,22.99,1001555.53995548,6004.5808448477
906,Unknown,Unknown,PN4434,23.68,1031538.50910494,12622.6946667413
907,Unknown,Unknown,PN4435,2.61,113785.103543275,1666.82789859334
908,Stevenson Park,Stevenson Park,PN4436,11.7,509752.128828261,2824.63060345046
909,Unknown,Unknown,PN4437,10,435600.014658423,2640.00007269769
910,Unknown,Unknown,PN4439,26.46,1152624.42133362,4345.6423247738
911,Unknown,Unknown,PN444,1.27,55374.2680768778,1676.24536809004
912,Unknown,Unknown,PN4440,1.48,64469.7500282022,1113.81896219764
913,Unknown,Unknown,PN4443,0.24,10591.8825426578,413.496425113842
914,Unknown,Unknown,PN4444,42,1829375.58193611,5900.80571195082
915,Unknown,Unknown,PN4446,3.01,130924.64334003,1467.79072399786
916,Unknown,Unknown,PN4447,1.84,80180.6294075386,1167.69711338628
917,Unknown,Unknown,PN4448,4.54,197579.013891587,2120.62610580432
918,Unknown,Unknown,PN4451,2.78,121231.722829549,1410.06154713269
919,Unknown,Unknown,PN4452,0.97,42270.9114230619,824.898018560453
920,Heritage Park,Heritage Park,PN4453,7.22,314402.462248021,2432.25721812447
921,Renwick Park,Renwick Park,PN4454,16.44,716261.084969691,3420.7483782178
922,Unknown,Unknown,PN4458,0.37,16137.4522909962,519.639765286638
923,Unknown,Unknown,PN4459,153.15,6671068.35945401,19644.6444670671
924,Unknown,Unknown,PN4461,253.48,11041550.5578445,65258.2625590319
925,Unknown,Unknown,PN4462,8.27,360064.188138439,3674.1326011064
926,Unknown,Unknown,PN4463,13.63,593682.074059259,4520.96962277403
927,Unknown,Unknown,PN4465,4.55,198154.553215186,2569.99605451907
928,Unknown,Unknown,PN4467,4.04,176152.922606521,7614.58396218948
929,Pearson Park,Pearson Park,PN4468,1.97,85899.2238672504,2193.55426303457
930,Nassau Bay Peninsula Wildlife Park,Nassau Bay Peninsula Wildlife Park,PN4469,59.45,2589559.56817703,13210.8510297242
931,Unknown,Unknown,PN4473,3.49,151925.559091451,1614.23954386834
932,Unknown,Unknown,PN4475,1.21,52569.1482325193,1199.77798803987
933,Unknown,Unknown,PN4479,1.84,80125.1435682622,1351.57175353819
934,Unknown,Unknown,PN4480,1.81,78682.2373449901,4526.44529416193
935,Unknown,Unknown,PN4482,1.21,52624.4773732445,1827.01743940064
936,Unknown,Unknown,PN4483,1.43,62411.6755364826,2092.22970476734
937,SOUTHWYCK GOLF COURSE,SOUTHWYCK GOLF COURSE,PN4484,201.62,8782514.74636739,37936.0598189677
938,1776 Park,1776 Park,PN4487,8.32,362634.497303338,2401.28817729708
939,City of Webster,City of Webster,PN4489,20.12,876275.264850905,4212.17439409825
940,Independence Park,Independence Park,PN4492,49.54,2158111.98355886,9759.9471319106
941,Unknown,Unknown,PN4493,2.72,118637.178993867,2185.67611824317
942,Unknown,Unknown,PN4495,1.66,72422.1569000337,1756.06206211766
943,Unknown,Unknown,PN4497,0.35,15316.0807624387,900.293689784943
944,Unknown,Unknown,PN4498,0.36,15780.2468768598,531.407611738497
945,Unknown,Unknown,PN4500,0.74,32157.827710367,2776.63594943424
946,Unknown,Unknown,PN4504,0.96,41880.2917850979,967.035888819554
947,Aaron Pasternak Memorial Park,Aaron Pasternak Memorial Park,PN4505,3.45,150478.922398932,4585.83308485204
948,Harbour Park,Harbour Park,PN4510,1.76,76568.5220561219,4291.21753349641
949,Dads Club Community Park,Dads Club Community Park,PN4511,28.37,1235883.25622849,4477.75810849879
950,Unknown,Unknown,PN4513,2.48,107837.051026321,1447.08364302891
951,Unknown,Unknown,PN4514,3.31,144242.131598644,2248.85667714134
952,Unknown,Unknown,PN4517,4.58,199545.616721745,2403.79800522761
953,Randolph Park,Randolph Park,PN4519,73.69,3209809.74065758,10962.3056944737
