-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies 
11-year Meteorological and Solar Monthly & Annual Climatologies (January 2012 - December 2022) 
Location: Latitude  29.64   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB         SRB V4/CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_LW_DWN      SRB V4/CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN      SRB V4/CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT     SRB V4/CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,0.1,0.09,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.11,0.1
ALLSKY_SFC_LW_DWN,326.86,343.73,354.7,372.47,395.8,418.78,425.73,429.3,415.32,383.51,354.94,346.16,380.77
ALLSKY_SFC_SW_DWN,3.06,3.3,4.59,5.38,6.12,6.4,6.3,5.79,5.06,4.5,3.39,2.66,4.72
ALLSKY_SFC_PAR_TOT,56.42,62.25,87.1,102.99,118.98,126.41,124.97,114.7,99.13,85.98,63.64,49.65,91.16
