,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile
190,73178,T48201251701,Texas,TX,Harris,251701,4826,5.31,,0,0
191,73179,T48201251702,Texas,TX,Harris,251702,4300,25.93,,0,0
192,73180,T48201251800,Texas,TX,Harris,251800,2096,14.2,,0,0
193,73181,T48201251902,Texas,TX,Harris,251902,7828,6.82,,0.01,76.06
194,73182,T48201251903,Texas,TX,Harris,251903,4498,11.02,,0,0
195,73183,T48201251904,Texas,TX,Harris,251904,6781,8.74,,0.01,75.98
196,73184,T48201252001,Texas,TX,Harris,252001,7086,2.89,,0,0
197,73185,T48201252002,Texas,TX,Harris,252002,5426,11.36,,0,0
198,73186,T48201252003,Texas,TX,Harris,252003,11081,8.59,,0,0
199,73187,T48201252100,Texas,TX,Harris,252100,3246,9.77,,3.76,80.23
200,73188,T48201252201,Texas,TX,Harris,252201,4836,1.04,,0.01,80.33
201,73189,T48201252202,Texas,TX,Harris,252202,6846,7.5,,0.01,78.99
202,73190,T48201252303,Texas,TX,Harris,252303,5132,0.47,,0,0
203,73191,T48201252304,Texas,TX,Harris,252304,3563,0.59,,0.01,80.32
204,73192,T48201252305,Texas,TX,Harris,252305,7800,0.91,,0.01,78.49
205,73193,T48201252306,Texas,TX,Harris,252306,8943,2.08,,0.01,74.98
206,73194,T48201252400,Texas,TX,Harris,252400,7746,2.08,,3.76,81.15
207,73195,T48201252500,Texas,TX,Harris,252500,5027,15.78,,3.76,85.49
208,73196,T48201252601,Texas,TX,Harris,252601,4891,1.51,,3.76,78.57
209,73197,T48201252602,Texas,TX,Harris,252602,3721,13.52,,3.76,87.18
210,73198,T48201252700,Texas,TX,Harris,252700,5007,18.49,,0.01,74.32
211,73199,T48201252800,Texas,TX,Harris,252800,7913,25.07,,3.76,83.77
212,73200,T48201252901,Texas,TX,Harris,252901,3263,3.17,,3.76,82.91
213,73201,T48201252902,Texas,TX,Harris,252902,7173,4.01,,0.01,79.78
