-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies 
11-year Meteorological and Solar Monthly & Annual Climatologies (January 2012 - December 2022) 
Location: Latitude  30.06   Longitude -95.56 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 49.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB         SRB V4/CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_LW_DWN      SRB V4/CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN      SRB V4/CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT     SRB V4/CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.13,0.13
ALLSKY_SFC_LW_DWN,306.66,327.45,343.8,362.74,389.74,411.21,417.45,420.11,402.72,365.09,334.49,324.53,367.34
ALLSKY_SFC_SW_DWN,3.04,3.25,4.5,5.31,5.78,6.37,6.44,5.98,5.18,4.41,3.26,2.55,4.68
ALLSKY_SFC_PAR_TOT,55.75,61.18,85.35,101.71,112.77,125.72,127.52,118.19,100.85,83.95,60.96,47.18,90.23
