-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies 
11-year Meteorological and Solar Monthly & Annual Climatologies (January 2012 - December 2022) 
Location: Latitude  30.06   Longitude -95.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 27.44 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB         SRB V4/CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_LW_DWN      SRB V4/CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN      SRB V4/CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT     SRB V4/CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,0.11,0.11,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12
ALLSKY_SFC_LW_DWN,308.96,331.39,346.4,363.94,389.93,412.13,418.29,420.28,403.67,365.74,334.17,327.92,368.73
ALLSKY_SFC_SW_DWN,2.98,3.15,4.41,5.23,5.81,6.21,6.25,5.76,5.14,4.38,3.32,2.5,4.6
ALLSKY_SFC_PAR_TOT,54.47,59.36,83.44,100.02,113.17,122.75,124.01,114.04,100.08,83.26,61.96,46.31,88.71
