,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile
62,73050,T48201223001,Texas,TX,Harris,223001,3885,1.22,2,0.12,52.51
63,73051,T48201223002,Texas,TX,Harris,223002,4004,0.29,2,0.12,52.64
64,73052,T48201223100,Texas,TX,Harris,223100,2233,1.87,2,0.12,52.74
65,73053,T48201230100,Texas,TX,Harris,230100,1824,0.53,2,0.12,52.79
66,73054,T48201230200,Texas,TX,Harris,230200,5363,3.04,2,0.12,51.72
67,73055,T48201230300,Texas,TX,Harris,230300,2298,0.68,2,0.12,52.19
68,73056,T48201230400,Texas,TX,Harris,230400,3824,1.12,2,0.12,51.94
69,73057,T48201230500,Texas,TX,Harris,230500,4099,1.35,2,0.12,52.18
70,73058,T48201230600,Texas,TX,Harris,230600,2690,0.84,2,0.12,52.53
71,73059,T48201230700,Texas,TX,Harris,230700,2963,1.05,2,0.12,52.15
72,73060,T48201230800,Texas,TX,Harris,230800,2662,0.72,2,0.12,52.63
73,73061,T48201230900,Texas,TX,Harris,230900,4947,2.48,2,0.12,51.87
74,73062,T48201231000,Texas,TX,Harris,231000,4727,1.61,2,0.12,52.9
75,73063,T48201231100,Texas,TX,Harris,231100,4920,4.36,2,0.12,52.07
76,73064,T48201231200,Texas,TX,Harris,231200,6800,5.45,2,0.12,52.14
77,73065,T48201231300,Texas,TX,Harris,231300,4796,1.88,2,0.12,51.95
78,73066,T48201231400,Texas,TX,Harris,231400,3347,1.31,2,0.12,53.03
79,73067,T48201231500,Texas,TX,Harris,231500,2858,0.45,2,0.12,52.21
80,73068,T48201231600,Texas,TX,Harris,231600,2915,0.65,2,0.12,52.2
81,73069,T48201231700,Texas,TX,Harris,231700,4509,1.65,2,0.12,52.48
82,73070,T48201231800,Texas,TX,Harris,231800,3042,1.1,2,0.12,52.13
83,73071,T48201231900,Texas,TX,Harris,231900,6633,3.53,2,0.12,51.72
84,73072,T48201232000,Texas,TX,Harris,232000,4371,6.42,2,0.12,53.07
85,73073,T48201232100,Texas,TX,Harris,232100,3803,1.26,2,0.12,53
86,73074,T48201232201,Texas,TX,Harris,232201,5754,1.74,2,0.12,52.89
87,73075,T48201232202,Texas,TX,Harris,232202,5698,2.19,2,0.12,52.09
88,73076,T48201232203,Texas,TX,Harris,232203,5924,3.88,2,0.12,52.85
89,73077,T48201232303,Texas,TX,Harris,232303,6451,5.16,2,0.12,51.86
90,73078,T48201232304,Texas,TX,Harris,232304,7763,4.81,2,0.12,51.75
91,73079,T48201232305,Texas,TX,Harris,232305,10954,2.86,2,0.12,51.82
92,73080,T48201232306,Texas,TX,Harris,232306,3644,1.66,2,0.12,52.45
93,73081,T48201232402,Texas,TX,Harris,232402,3820,0.55,2,0.12,52.62
94,73082,T48201232403,Texas,TX,Harris,232403,4575,0.79,2,0.12,52.64
95,73083,T48201232404,Texas,TX,Harris,232404,3652,1.47,2,0.12,51.84
96,73084,T48201232405,Texas,TX,Harris,232405,5832,4.19,2.02,0.12,53.1
97,73085,T48201232500,Texas,TX,Harris,232500,3157,4.5,2,0.12,52.33
98,73086,T48201232600,Texas,TX,Harris,232600,2892,2.39,2,0.12,52.73
99,73087,T48201232701,Texas,TX,Harris,232701,7066,1.82,2,0.12,52.21
100,73088,T48201232703,Texas,TX,Harris,232703,2740,0.26,2,0.12,52.56
101,73089,T48201232704,Texas,TX,Harris,232704,2009,1.5,2,0.12,51.86
102,73090,T48201232801,Texas,TX,Harris,232801,2621,0.36,2,0.12,52.19
103,73091,T48201232802,Texas,TX,Harris,232802,2715,0.44,2,0.12,52.93
104,73092,T48201232901,Texas,TX,Harris,232901,3992,0.95,2,0.12,52.16
105,73093,T48201232902,Texas,TX,Harris,232902,4380,0.34,2,0.12,51.97
106,73094,T48201233001,Texas,TX,Harris,233001,4163,0.37,2,0.12,52.91
107,73095,T48201233002,Texas,TX,Harris,233002,4040,0.67,2.02,0.13,53.1
108,73096,T48201233003,Texas,TX,Harris,233003,2470,0.4,2,0.12,52.17
109,73097,T48201233101,Texas,TX,Harris,233101,4640,0.67,2,0.12,51.8
110,73098,T48201233103,Texas,TX,Harris,233103,5475,0.64,2,0.12,52.62
111,73099,T48201233104,Texas,TX,Harris,233104,3110,0.31,2,0.12,52.22
112,73100,T48201233105,Texas,TX,Harris,233105,3734,0.64,2.08,0.13,53.2
113,73101,T48201233200,Texas,TX,Harris,233200,6461,1.24,2,0.12,52.18
114,73102,T48201233300,Texas,TX,Harris,233300,4468,4.68,2,0.12,52.73
